name,abbr,value,description,more_info
Galactic Year,Gyr,230 Billion Years,Time for our solar system to orbit the center of the Milky Way.,https://en.wikipedia.org/wiki/Galactic_year
Parsec,pc,trigometric parallax function,"~3.3 light years/ 210,000 astronomical units/31 trillion km/19 trillion miles.",https://en.wikipedia.org/wiki/Parsec
Light Year,ly,"9,460,730,472,580,800 meters","distance that?light travels in vacuum?in one?Julian year?(365.25 days), ~9.46 trillion km/ 5.88 trillion miles.",https://en.wikipedia.org/wiki/Light-year
astronomical unit,au,"149,597,870,700 meters.","mean(earth-sun distance),~93 million miles.",https://en.wikipedia.org/wiki/Astronomical_unit
earth radius,,6371 km/3959 miles,mean(polar/equatorial) radius.,https://en.wikipedia.org/wiki/Earth_radius
earth mass,,~5.9722 * 10^24 kg,approximate mass of the earth.,https://en.wikipedia.org/wiki/Earth_mass
solar mass,,~2 * 10^30 kg,approximate mass of the sun.,https://en.wikipedia.org/wiki/Solar_mass
solar radius,,"695,700 kilometres","432,300 miles, ~10 * radius of jupiter, 109 * earth.",https://en.wikipedia.org/wiki/Solar_radius
Earth Density,,5.51 g/cm^3,average density of all planetary material.,https://en.wikipedia.org/wiki/Solar_mass
kelvin,K,273.15 degrees celsius,"degrees above absolute zero, same scale as celsius but starts at theoretical freezing temperature of all matter (save quantum mechanics), not water.",https://en.wikipedia.org/wiki/Kelvin
absolute zero,,0 degrees kelvin,theoretical point where gases reach minimum enthalpy and entropy values.,https://en.wikipedia.org/wiki/Absolute_zero
gravity,g,m/s^2,"effect of bent space-time. {earth=9.807, sun=234, moon=1.62, jupiter=24.79}.",https://en.wikipedia.org/wiki/Gravity
exoplanet,,extrasolarplanet,a planet that exists outside of our solar system,"https://en.wikipedia.org/wiki/Exoplanet#:~:text=An%20exoplanet%20or%20extrasolar%20planet,planet%2C%20originally%20detected%20in%201988."
(potentially) habitabal exoplanet,,,a planet thtat exists outside our solar system and has a surface temperature that can sustain liquid water,https://en.wikipedia.org/wiki/List_of_potentially_habitable_exoplanets   http://phl.upr.edu/projects/habitable-exoplanets-catalog/
planet,,,"orbits a star, massive enough to become gravitationally rounded.",https://en.wikipedia.org/wiki/Planet#Planetary-mass_objects
rogue planet,,,a planet without a star or gravitationally bounding remnant to orbit,https://en.wikipedia.org/wiki/Rogue_planet
galactic coordinate system,,l :galactic longitude                b: galactic latitude,a celestial coordinate system with our sun at the center.,https://en.wikipedia.org/wiki/Galactic_coordinate_system
Lorentz factor,,??,measures the distortion of time and space on a moving object.,"https://en.wikipedia.org/wiki/Lorentz_factor#:~:text=The%20Lorentz%20factor%20or%20Lorentz,derivations%20of%20the%20Lorentz%20transformations."
Proper Velocity,,,distance per unit time where time is measured by the moving object.,https://en.wikipedia.org/wiki/Proper_velocity
Interstellar Travel,,,travelling between stars (or planetary systems).,https://en.wikipedia.org/wiki/Interstellar_travel
Planetary Habitability,,,ability to develop and maintain environments hospitable to life,https://en.wikipedia.org/wiki/Planetary_habitability
solar flux/insolation,,"w/m^2, j/m^2 also /time","amount of solar energy reaching a planet, often measured in watts or joules/meter^2 and often over a time period. Measured here relative to earth (earth=1).",https://en.wikipedia.org/wiki/Solar_irradiance
solar constant,KS?,"1,361 W/m2",amount of solar energy received by earth.,https://scied.ucar.edu/planetary-energy-balance-temperature-calculate
Planetary Equilibrium Temperature,,,"theoretical temperature of a planet if it were to absorb all radiation from its parent star(s). Earth has an equlibrium temperature of 255K (-18c, -1f), but an actual temperature of about 288K(15c, 59f) due to greenhouse effects).",https://en.wikipedia.org/wiki/Planetary_equilibrium_temperature
