name,abbr,value,description,more_info
(potentially) habitabal exoplanet,,,"An exoplanet that has a surface temperature that can sustain liquid water and is fairly comporable to earth in size, composition, and atmospheric properties.",https://en.wikipedia.org/wiki/List_of_potentially_habitable_exoplanets   http://phl.upr.edu/projects/habitable-exoplanets-catalog/
absolute zero,,0 degrees kelvin,Theoretical point where gases reach minimum enthalpy and entropy values.,https://en.wikipedia.org/wiki/Absolute_zero
astronomical unit,au,"149,597,870,700 meters.","The averagedistance between the earth and the sun, ~93 million miles (150 million Kilometers).",https://en.wikipedia.org/wiki/Astronomical_unit
Earth Density,,5.51 g/cm^3,The average density of all planetary material composing earth.,https://en.wikipedia.org/wiki/Solar_mass
earth mass,,~5.9722 * 10^24 kg,The approximate mass of the earth.,https://en.wikipedia.org/wiki/Earth_mass
earth radius,,6371 km/3959 miles,The average radius of earth (polar and equatorial radii).,https://en.wikipedia.org/wiki/Earth_radius
exoplanet,,extrasolarplanet,A planet that exists outside of our solar system.,https://en.wikipedia.org/wiki/Exoplanet
galactic coordinate system,,l :galactic longitude                b: galactic latitude,A celestial coordinate system with our sun at the center.,https://en.wikipedia.org/wiki/Galactic_coordinate_system
Galactic Year,Gyr,230 Billion Years,Time for our solar system to orbit the center of the Milky Way.,https://en.wikipedia.org/wiki/Galactic_year
gravity,g,m/s^2,"The effect of bent space-time.  A force that attracts all objects containing mass. {earth=9.807, sun=234, moon=1.62, jupiter=24.79}.",https://en.wikipedia.org/wiki/Gravity
Habitable Zone,,,The area around a star that would allow water to exist in a liquid form.,https://en.wikipedia.org/wiki/Circumstellar_habitable_zone
Interstellar Travel,,,Travelling between stars (or planetary systems).,https://en.wikipedia.org/wiki/Interstellar_travel
kelvin,K,273.15 degrees celsius,"Degrees above absolute zero, same scale as celsius but starts at theoretical freezing temperature of all matter (save quantum mechanics), not water.",https://en.wikipedia.org/wiki/Kelvin
Light Year,ly,"9,460,730,472,580,800 meters","The distance which light travels in vacuum in one Julian year (365.25 days), ~9.46 trillion km/ 5.88 trillion miles.",https://en.wikipedia.org/wiki/Light-year
Lorentz factor,,γ ,Measures the distortion of time and space on a moving object.,https://en.wikipedia.org/wiki/Lorentz_factor
Parsec,pc,~3.3 light years.,"A distance scale of astronomical proportions.  210,000 astronomical units/31 trillion km/19 trillion miles.",https://en.wikipedia.org/wiki/Parsec
planet,,,"A astronomical object which orbits a star, is massive enough to become gravitationally rounded, and has cleared its surrounding area of objects not orbitting itself.",https://en.wikipedia.org/wiki/Planet
Planetary Equilibrium Temperature,,,"The theoretical temperature of a planet if it were to absorb all the radiation from its parent star(s) that reaches its surface. Earth has an equlibrium temperature of 255K (-18c, -1f), but an actual temperature of about 288K(15c, 59f) due to greenhouse effects).",https://en.wikipedia.org/wiki/Planetary_equilibrium_temperature
Planetary Habitability,,,The ability to develop and maintain environments hospitable to life,https://en.wikipedia.org/wiki/Planetary_habitability
Proper Velocity,,,"The distance per unit time where time is measured by the moving object, not a 'stationary' clock .",https://en.wikipedia.org/wiki/Proper_velocity
Rogue Planet,,,A planet without a star or gravitationally bounding remnant to orbit.,https://en.wikipedia.org/wiki/Rogue_planet
Solar Constant,KS ,"1,361 W/m2",The amount of solar energy received by earth.,https://en.wikipedia.org/wiki/Solar_constant
Solar Flux/Insolation,,"w/m^2, j/m^2 also /time","The amount of solar energy reaching a planet, often measured in watts or joules/meter^2 and often over a time period. Commonly measured relative to earth (earth=1).",https://en.wikipedia.org/wiki/Solar_irradiance
Solar Mass,,~2 * 10^30 kg,The approximate mass of the sun.,https://en.wikipedia.org/wiki/Solar_mass
Solar Radius,,"695,700 kilometres","The radius of the sun; 432,300 miles ( ~10 * radius of jupiter, 109 * earth).",https://en.wikipedia.org/wiki/Solar_radius
Tidal Lock,,,"when an orbiting astronomical body rotates on its own axis at the same rate it orbits its host, resulting in the same side always facing the object it is orbiting. ",https://en.wikipedia.org/wiki/Tidal_locking
